:		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	Seasons	Coscinodiscus sp 	chaetoceros sp	Lauderia sp	Rhizosolenia sp	Thalassiothrix sp 	Thalassionema sp	Biddulphia sp	Pseudonitzhia sp	Stephanopyxis sp	Skeletonema sp	Dinoflagellates sp	Others	pH	DO	Temp	Salinity	
Black	Dot	Summer	2434	23	203	0	316	316	609	0	406	0	47	158	8.114266226	9.264248695	29.363044	26.44552164	
Black	Dot	Summer	321	0	260	0	214	367	336	367	31	916	107	153	8.271873466	8.120735442	28.51286098	26.28168527	
Black	Dot	Summer	259	0	0	0	2586	3879	0	109616	39	6466	1746	5172	7.640430386	10.3449937	30.16442721	28.19782112	
Black	Dot	Summer	307	0	0	0	3074	5123	0	79100	512	7172	2049	5123	7.867419016	9.845496341	31.83236011	28.81815594	
Black	Dot	Summer	1622	0	541	0	270	406	270	541	270	270	54	1081	8.252025578	10.5943299	30.54444664	27.82542862	
Black	Dot	Summer	127	0	952	0	571	444	317	1903	381	1269	825	190	8.115565554	10.49661484	28.48879516	25.3208304	
Black	Dot	Summer	114	0	644	0	492	417	152	947	227	417	189	189	8.418174383	10.32762958	31.21072582	27.22925894	
Black	Dot	Summer	140	0	279	0	279	349	349	1222	279	349	175	70	8.098633752	10.75181872	28.78851428	26.6983063	
Black	Dot	Winter	905	151	0	755	453	272	362	0	0	0	7	112	5.888551968	6.78319551	25.79369407	31.09805232	
Black	Dot	Winter	991	66	0	286	397	132	265	0	0	0	22	55	7.697557756	6.712421392	26.66534221	33.57271559	
Black	Dot	Winter	944	128	0	587	357	153	255	0	0	0	51	77	7.815285377	7.16405158	28.34668017	28.32636102	
Black	Dot	Winter	914	45	0	178	535	112	335	0	0	0	23	89	8.191160445	7.247961003	27.11265701	30.66023712	
Black	Dot	Winter	1771	58	0	539	924	96	231	0	0	0	54	177	7.760207558	6.919127813	26.9288777	29.84040179	
Black	Dot	Winter	3845	440	0	2746	1648	659	1099	0	0	0	151	289	7.805956139	6.987907035	23.75489486	32.1933357	
Black	Dot	Winter	1885	124	0	1389	248	372	774	0	0	0	59	138	7.276114941	6.875044531	24.13825716	29.29708538	
Black	Dot	Winter	888	148	0	681	474	237	326	0	0	0	50	148	7.532552921	6.96581881	26.14139578	32.9047692	
